CHANNEL TYPE,NO.,NAME,IP ADDRESS
LOCAL,2,USee Photo,239.1.1.253:9492
LOCAL,3,Usee Info,239.1.2.233:9372
LOCAL,7,Usee Otomoto,239.1.1.252:9486
LOCAL,8,DRTV,239.1.1.243:9432
LOCAL,9,MURAD,239.1.1.251:10004
LOCAL,42,INSERT,239.1.1.113:8652
LOCAL,179,Daai TV,239.1.2.179:9048
LOCAL,180,TVRI,239.1.2.37:8196
LOCAL,181,Metro TV,239.1.2.19:8088
LOCAL,182,CNN Indonesia,0.0.0.0
LOCAL,183,TV One,239.1.2.31:8160
LOCAL,184,Trans TV,239.1.2.27:8136
LOCAL,185,Trans 7,239.1.2.29:8148
LOCAL,186,SCTV,239.1.2.21:8100
LOCAL,187,Indosiar,239.1.2.17:8076
LOCAL,188,ANTV,239.1.2.15:8064
LOCAL,189,RCTI,239.1.2.23:8112
LOCAL,190,Global TV,239.1.2.13:8052
LOCAL,191,MNCTV,239.1.2.25:8124
LOCAL,192,Rajawali TV,239.1.2.69:8388
LOCAL,193,Lejel Home Shopping,239.1.2.3:7992
LOCAL,194,Kompas TV,239.1.2.197:9156
LOCAL,195,Berita Satu,239.1.2.183:9072
LOCAL,196,Jak TV,239.1.2.107:8616
LOCAL,197,TV Edukasi,239.1.2.39:8208
LOCAL,198,NET TV,239.1.2.119:8688
,,,
KNOWLEDGE,90,Khazanah,239.1.1.230:9356
KNOWLEDGE,281,National Geographic,239.1.2.169:8988
KNOWLEDGE,282,National Geographic Wild,239.1.2.35:8184
KNOWLEDGE,0,National Geographic Wild (HD),239.1.1.207:9216
KNOWLEDGE,283,Crime & Investigations,239.1.2.59:8328
KNOWLEDGE,284,fyi,239.1.2.61:8340
KNOWLEDGE,285,History Channel,239.1.2.57:8316
,,,
LIFESTYLE,43,Eat and Go,239.1.1.229:9350
LIFESTYLE,480,Fashion One,239.1.2.127:8736
LIFESTYLE,481,E! Entertainment,239.1.2.145:8844
LIFESTYLE,484,Fashion TV,239.1.2.79:8448
LIFESTYLE,485,Nat Geo People,239.1.2.67:8376
,,,
MUSIC,82,T MUSIC,239.1.2.163:8952
MUSIC,453,PRAMBORS (Trial),239.1.1.227:9336
MUSIC,488,MTV Live,239.1.2.5:8004
MUSIC,490,Channel [V],239.1.2.173:9012
MUSIC,491,C Music,239.1.1.77:8436
,,,
GEN ENT,50,Showcase,239.1.1.225:9326
GEN ENT,51,Tahan Tawa,239.1.1.231:9362
GEN ENT,52,Dunia Lain,239.1.1.149:8868
GEN ENT,523,K-Plus (Trial),239.1.1.242:9426
GEN ENT,525,Hi Indo (Trial),239.1.1.240:9348
GEN ENT,570,Animax,239.1.2.157:8916
GEN ENT,571,DIVA,239.1.2.51:8280
GEN ENT,574,Star World,239.1.2.171:9000
GEN ENT,0,Star World (HD),239.1.1.209:9228
GEN ENT,575,Lifetime,239.1.2.181:9260
GEN ENT,576,KIX,239.1.2.81:8460
GEN ENT,577,Comedy Central,239.1.2.9:8028
GEN ENT,578,Channel M,239.1.2.135:8784
